Dia;Espacio;Horario;Actividad;Profesor
LUNES;GIMNASIO 1;08:15 A 12:15;EDUCACION FISICA ESCUELA N5 DE 13 PORTELA 734;
LUNES;GIMNASIO 1;13:00 A 14:30;EDUCACION FISICA ESCUELA N5 DE 13 PORTELA 734;
LUNES;GIMNASIO 1;15 A 16;U17+ U19 FLEX;THEO LORENZO
LUNES;GIMNASIO 1;16 A 17 HS;U13 + U15 FLEX;THEO LORENZO
LUNES;GIMNASIO 1;17 A 18.30 HS;U11 Y U13 "AMARILLO";SANTIAGO FILINICH
LUNES;GIMNASIO 1;18.30 A 19.30 HS;U9 "AMBAS TIRAS";FACUNDO BAGALA Y SANTIAGO FILINICH
LUNES;GIMNASIO 1;19.30 A 21 HS;U11 Y U13 "AZUL";TOMAS CURI
LUNES;GIMNASIO 1;21:00 a 22:15;U21+PRIMERA FEM;FEDERICO GALMARINI
LUNES;GIMNASIO 1;22:15 a 23:30;U21 AMARILLO + PRIMERA FLEX;FEDERICO GALMARINI
LUNES;GIMNASIO 2;14.30 A 16.30 HS;AVANZADO AYB;JIMENA
LUNES;GIMNASIO 2;16.30 A 18.00 HS;AVANZADO C1y2;JIMENA
LUNES;GIMNASIO 2;18 a 19;FAFI Y TABI 2019/18/17;AGUSTIN Y ARIEL
LUNES;GIMNASIO 2;19 a 20;ESCUELITA + TABI 2016/15;AGUSTIN Y ARIEL
LUNES;GIMNASIO 2;20 a 21;ESCUELITA + TABI 2014/13;AGUSTIN Y ARIEL
LUNES;GIMNASIO 2;21.00 A 22.30 HS;MAYORES 7MA;
LUNES;GIMNASIO 2;22:30 A 23:30;ALQ. DAMIAN;
LUNES;GIMNASIO 3;16.00 a 18.00 HS;U15 "AZUL";TOMAS CURI
LUNES;GIMNASIO 3;18.00 A 19.00 HS;U17 "AZUL";TOMAS CURI
LUNES;GIMNASIO 3;19.00 A 21 HS;U21 "A"+U17 "A" +PRIMERA B;FRANCISCO BLASCO
LUNES;GIMNASIO 3;21.00 A 22.30 HS;U21 "AZUL" + PRIMERA A;TOMAS CURI
LUNES;GIM FISICO;17 A 18;FISICO U17;NICOLAS CATAN
LUNES;GIM FISICO;18 A 19;FISICO U15;NICOLAS CATAN
LUNES;GIM FISICO;19 a 20;FISICO 1ra "B";NICOLAS CATAN
LUNES;GIM FISICO;20 a 21;FISICO 1ra "A" y U21;NICOLAS CATAN
LUNES;P.B. SALON;09:00 A 10:00;FUNCIONAL;FACUNDO GOMEZ
LUNES;P.B. SALON;16:00 A 17:00;FUNCIONAL+60;ANA GABRIELA
LUNES;P.B. SALON;18:00 A 19:00 HS;TEENS;CHIARA Y NATY
LUNES;P.B. SALON;19:00 A 20:30 HS;INTERMEDIO 1;CHIARA NATY JIME
LUNES;P.B. SALON;20 A 21 HS;INTERMEDIO 2;CHIARA Y NATY
LUNES;P.B. SUM;17.45 A 18.30HS;FISICO U9;TOMAS CAIRO
LUNES;P.B. SUM;18.30 A 19 HS;FISICO U11 U13 AMARILLO;TOMAS CAIRO
LUNES;P.B. SUM;19 A 19.30 HS;FISICO U11 U13 AZUL;TOMAS CAIRO
LUNES;SUBSUELO;18:00 A 19:00;TAEKWONDO;
LUNES;SALA ALBAMONTE;18 a 20;YOGA;
LUNES;LA CASONA;13 a 17;CENTRO DE JUBILADOS;
MARTES;GIMNASIO 1;13:00 A 14:30;EDUCACION FISICA PORTELA 734 ESCUELA NS DE 13;
